,frameNUM_veh,objectID_veh,p1x_veh,p1y_veh,p2x_veh,p2y_veh,bx_veh,by_veh,cx_veh,cy_veh,type_veh,zone_veh,course_veh,lostCounter_veh,key,frameNUM_ped,objectID_ped,p1x_ped,p1y_ped,p2x_ped,p2y_ped,bx_ped,by_ped,cx_ped,cy_ped,type_ped,zone_ped,course_ped,lostCounter_ped,distance,ped_veh_overlap,ped_veh_buffer_intersect,pet,intersection,video_name,sub_id
63,449,15,517,298,586,338,551,318,551,338,2,5,999,0,0,461,14,554,260,598,320,576,290,576,320,0,5,360,19,30.8058436,1,1,-0.4,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,7
64,591,17,553,280,610,324,581,302,581,324,2,5,255.9637565,1,0,461,14,554,260,598,320,576,290,576,320,0,5,360,19,6.403124237,1,1,4.333333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,7
65,620,18,556,277,617,322,586,299,586,322,2,5,225,0,0,480,14,555,260,599,319,577,289,577,319,0,5,90,38,9.486832981,1,1,4.666666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,7
66,475,15,555,286,609,326,582,306,582,326,2,5,255.9637565,0,0,625,24,571,266,591,325,581,295,581,325,0,5,999,0,1.414213562,1,1,-5,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,19
67,600,22,559,281,611,320,585,300,585,320,2,5,255.9637565,0,0,633,24,572,266,592,316,582,291,582,316,0,5,360,6,5,1,1,-1.1,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,19
68,726,27,558,289,607,325,582,307,582,325,2,5,225,0,0,625,24,571,266,591,325,581,295,581,325,0,5,999,0,1,1,1,3.366666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,19
69,151,11,368,650,558,718,463,684,463,718,2,-1,35.53767779,0,0,290,20,430,626,493,712,461,669,461,712,0,6,999,0,6.32455532,1,1,-4.633333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,21
70,235,17,375,657,540,719,457,688,457,719,2,-1,30.25643716,0,0,290,20,430,626,493,712,461,669,461,712,0,6,999,0,8.062257748,1,1,-1.833333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,21
71,482,29,534,304,586,329,560,316,560,329,2,5,999,0,0,489,27,571,266,593,324,582,295,582,324,0,5,200.5560452,1,22.56102835,1,1,-0.233333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,21
72,540,33,558,291,606,323,582,307,582,323,2,5,270,0,0,491,27,572,267,593,322,582,294,582,322,0,5,200.5560452,3,1,1,1,1.633333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_094715,21
